epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
64,3296.86,1.17626,0.52184,1.31824,0,0,0,0,0,0,0,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,3347.68,1.17613,0.52081,1.31351,0,0,0,0,0,0,0,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,3398.45,1.17318,0.51859,1.31617,0,0,0,0,0,0,0,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,3449.83,1.17233,0.51871,1.31607,0,0,0,0,0,0,0,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,3500.63,1.17128,0.51768,1.31512,0,0,0,0,0,0,0,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,3552.17,1.17185,0.51609,1.31527,0,0,0,0,0,0,0,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,3602.79,1.16158,0.51287,1.30982,0,0,0,0,0,0,0,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,3654.07,1.16574,0.50991,1.30737,0,0,0,0,0,0,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,3704.79,1.16393,0.51171,1.30692,0,0,0,0,0,0,0,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,3755.99,1.15314,0.50745,1.30072,0,0,0,0,0,0,0,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,3806.8,1.15046,0.50305,1.30045,0,0,0,0,0,0,0,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,3857.88,1.15612,0.50537,1.30355,0,0,0,0,0,0,0,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,3908.41,1.15133,0.50013,1.30208,0,0,0,0,0,0,0,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,3959.68,1.1536,0.5024,1.30162,0,0,0,0,0,0,0,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,4010.21,1.15005,0.49889,1.29603,0,0,0,0,0,0,0,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
